GRB,GRB -ray poition,Error,Intrument,IPNb,Ab,OTb,RAb,IAUC,zc
GRB230204B,13h10m15 -22° 02',60,MAXi,y,y,y,,,2.142
GRB221226B,01h31m40 -41° 33',3,Swift,y,y,y,,,2.694
GRB221110A,01h56m29 -27° 19',3,Swift,,y,y,,,4.06
GRB221009A,19h13m03 +19° 48',3,Swift,y,y,y,y,,0.151
GRB220627A,13h24m48 -32° 30',12,Fermi,y,y,y,y,,3.084
GRB220611A,04h26m06 -37° 17',3,Swift,,y,y,,,2.3608
GRB220527A,21h34m17 +21° 34',5,Fermi,y,y,y,,,0.857
GRB220521A,18h20m47 +10° 23',3,Swift,y,y,y,,,5.6
GRB220219B,16h03m39 +31° 14',0.1,ZTF,y,y,y,y,,0.293
GRB220117A,06h06m19 -28° 25',3,Swift,y,y,,,,4.961
GRB220107A,11h19m03 +34° 08',10,Swift,y,y,y,,,1.246
GRB220101A,00h05m31 +31° 45',3,Swift,y,y,y,y,,4.618
GRB211207A,09h58m30 -24° 21',3,Swift,,y,y,,,2.272
GRB211024B,10h18m45 +24° 35',3,Swift,,y,y,,,1.1137
GRB211023B,11h21m12 +39° 08',3,Swift,,y,y,,,0.862h
GRB211023A,04h49m12 +85° 18',6,Fermi,y,,y,,,0.39
GRB210919A,05h20m55 +01° 16',3,Swift,,n,,,,0.2415h
GRB210905A,20h36m15 -44° 26',3,Swift,y,y,,y,,6.318
GRB210822A,20h17m54 +05° 16',3,Swift,y,y,y,y,,1.736
GRB210731A,20h01m15 -28° 02',3,Swift,y,y,y,,,1.2525
GRB210726A,12h53m22 +19° 11',3,Swift,,y,,y,,0.37phh
GRB210722A,01h48m06 -06° 21',3,Swift,y,y,y,,,1.145
GRB210702A,11h14m17 -36° 44',3,Swift,,y,y,y,,1.16
GRB210619B,21h18m51 +33° 52',3,Swift,y,y,y,,,1.937
GRB210610B,16h15m45 +14° 23',3,Swift,y,y,y,,,1.13
GRB210610A,13h37m08 +14° 29',3,Swift,y,y,y,,,3.54
GRB210517A,23h52m42 -39° 06',3,Swift,,y,y,,,2.486
GRB210504A,14h49m11 -30° 32',3,Swift,,y,y,,,2.077
GRB210420B,16h57m17 +42° 34',3,Swift,,y,y,,,1.4
GRB210411C,19h46m14 -39° 22',3,Swift,,y,y,,,2.826
GRB210323A,21h11m49 +25° 23',3,Swift,y,y,y,,,0.733h
GRB210321A,05h51m30 +70° 07',3,Swift,y,y,y,,,1.487
GRB210312B,10h23m22 +76° 53',3,INTEGRAL,,,y,,,1.069
GRB210222B,10h18m29 -14° 54',3,Swift,,y,y,,,2.198
GRB210210A,17h31m15 +14° 39',3,Swift,y,y,y,,,0.715
GRB210204A,07h48m19 +11° 25',0.01,ZTF,y,y,y,y,,0.876
GRB210116A,08h15m15 -05° 52',0.01,ZTF,,y,y,y,,2.514
GRB210104A,06h54m49 +64° 40',3,Swift,y,y,y,,,0.46
GRB201221D,11h24m12 +42° 09',3,Swift,y,y,y,,,1.045
GRB201221A,14h17m55 -45° 25',3,Swift,y,y,y,,,5.7
GRB201216C,01h05m26 +16° 32',3,Swift,y,y,y,,,1.1
GRB201104B,00h20m52 +07° 49',3,Swift,,y,y,,,1.954
GRB201103B,02h48m44 +12° 08',0.1,AGILE,y,y,,,,1.105
GRB201024A,08h23m47 +03° 23',3,Swift,,y,y,,,0.999
GRB201021C,00h50m12 -55° 50',3,Swift,y,y,y,,,1.07
GRB201020B,04h59m29 +76° 59',13,Fermi,y,y,y,,,0.804
GRB201020A,17h24m59 +31° 25',3,Swift,y,y,y,,,2.903
GRB201015A,23h37m22 +53° 24',3,Swift,y,y,y,y,,0.426
GRB201014A,01h23m23 +27° 42',3,Swift,,y,y,,,4.56
GRB200829A,16h44m51 +72° 20',3,Swift,y,y,y,,,1.25ph
GRB200826A,00h27m16 +34° 02',27*15,IPN,y,y,y,y,,0.7481h
GRB200613A,10h12m07 +45° 51',8,Fermi,y,y,y,,,1.22
GRB200524A,14h11m00 +60° 58',12,Fermi,y,y,y,,,1.256
GRB200522A,00h22m40 -00° 17',3,Swift,,y,y,y,,0.554h
GRB200411A,03h10m38 -52° 19',3,Swift,y,y,,n,,0.7phh
GRB200219A,22h50m35 -59° 06',3,Swift,y,y,,n,,0.48phh
GRB200205B,07h11m13 -56° 29',3,Swift,y,y,y,,,1.465
GRB191221B,10h19m20 -38° 08',3,Swift,y,y,y,y,,1.148
GRB191031D,18h53m06 +47° 38',3,Swift,y,y,,n,,0.5phh
GRB191019A,22h40m09 -17° 20',3,Swift,,y,y,,,0.248
GRB191011A,02h58m54 -27° 51',3,Swift,y,y,y,,,1.722
GRB191004B,03h16m42 -39° 37',3,Swift,y,y,y,,,3.503
GRB190919B,20h47m33 -44° 43',3,INTEGRAL,,?,y,,,3.225
GRB190829A,02h58m10 -08° 58',3,Swift,,y,y,y,,0.0785
GRB190719C,16h00m50 +12° 59',3,Swift,y,y,y,,,2.469
GRB190627A,16h19m19 -05° 18',3,Swift,y,y,y,,,1.942
GRB190613A,12h10m14 +67° 14',3,Swift,y,y,y,,,2.78?
GRB190530A,08h03m03 +35° 30',10,Fermi,y,y,y,,,<2.2
GRB190324A,03h18m18 -47° 14',3,Swift,y,y,y,,,1.1715
GRB190114C,03h38m02 -26° 56',3,Swift,y,y,y,y,,0.425
GRB190114A,04h22m11 +02° 10',3,Swift,,y,y,,,3.3765
GRB190106A,01h59m33 +23° 51',3,Swift,,y,y,,,1.859
GRB181213A,16h32m50 +78° 30',3,Swift,y,y,y,,,<2.4
GRB181201A,21h17m17 -12° 38',3,INTEGRAL,y,y,y,y,,<1.88
GRB181123B,12h17m23 +14° 35',3,Swift,,y,y,,,1.754h
GRB181110A,20h09m22 -36° 54',3,Swift,y,y,y,,,1.505
GRB181020A,00h55m52 -47° 23',3,Swift,y,y,y,,,2.938
GRB181010A,03h30m14 -23° 02',3,Swift,y,y,y,,,1.39
GRB180914B,22h09m48 +24° 53',20,AGILE,y,y,y,,,1.096
GRB180805B,01h43m15 -17° 30',3,Swift,y,y,,,,0.661h
GRB180728A,16h54m17 -54° 02',3,Swift,y,y,y,,,0.117
GRB180727A,23h06m40 -63° 03',3,Swift,y,y,,,,2.0phh
GRB180720B,00h02m07 -02° 56',3,Swift,y,y,y,y,,0.654
GRB180703A,00h26m10 -67° 05',18,Fermi,y,y,y,,,0.6678
GRB180624A,21h12m17 -02° 20',3,Swift,,y,y,,,2.855
GRB180620B,23h50m04 -57° 57',3,Swift,y,y,y,,,1.1175
GRB180618A,11h19m45 +73° 51',3,Swift,y,y,y,,,0.544h
GRB180510B,05h11m57 -62° 20',3,Swift,,y,y,,,1.305
GRB180418A,11h20m27 +24° 57',3,Swift,y,y,y,,,1.55phh
GRB180404A,05h34m15 -37° 10',3,Swift,,y,y,,,1
GRB180329B,05h31m40 -23° 42',3,Swift,,y,y,,,1.998
GRB180325A,10h29m44 +24° 26',3,Swift,y,y,y,,,2.248
GRB180314A,06h37m06 -24° 29',3,Swift,y,y,y,,,1.445
GRB180205A,08h27m17 +11° 33',3,Swift,y,y,y,,,1.409
GRB180115A,00h48m18 -15° 36',3,Swift,,y,y,,,2.487
GRB171222A,09h53m10 +35° 37',3,Swift,y,y,y,,,2.409
GRB171205A,11h09m47 -12° 36',3,Swift,y,y,y,y,,0.0368
GRB171020A,02h37m03 +15° 11',3,Swift,,y,y,,,1.87
GRB171010A,04h26m58 -10° 32',14,Fermi,y,y,y,y,,0.3285
GRB170903A,16h58m03 +34° 59',3,Swift,y,y,,n,,0.886h
GRB170817A,12h47m00 -39° 48',700,Fermi,y,y,y,y,,0.009783h
GRB170728B,15h52m11 +70° 09',3,Swift,y,y,y,n,,1.27h
GRB170728A,03h55m35 +12° 09',3,Swift,,y,y,n,,1.49h
